Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
317.16	1.0000	991.02	0.0010091	184.16	185.16	0.62517	4.0524	4.1778	1536.7	-0.20970	0.00060679	0.63650	liquid
318.16	1.0000	990.60	0.0010095	188.33	189.34	0.63832	4.0477	4.1780	1538.1	-0.20912	0.00059608	0.63781	liquid
319.16	1.0000	990.18	0.0010099	192.51	193.52	0.65143	4.0430	4.1782	1539.4	-0.20854	0.00058568	0.63910	liquid
320.16	1.0000	989.75	0.0010104	196.69	197.70	0.66451	4.0382	4.1785	1540.7	-0.20797	0.00057557	0.64036	liquid
321.16	1.0000	989.31	0.0010108	200.87	201.88	0.67754	4.0335	4.1787	1541.9	-0.20740	0.00056575	0.64160	liquid
322.16	1.0000	988.87	0.0010113	205.04	206.06	0.69053	4.0287	4.1790	1543.1	-0.20684	0.00055620	0.64282	liquid
323.16	1.0000	988.42	0.0010117	209.22	210.24	0.70348	4.0238	4.1793	1544.2	-0.20627	0.00054691	0.64402	liquid
324.16	1.0000	987.97	0.0010122	213.40	214.41	0.71639	4.0190	4.1796	1545.3	-0.20571	0.00053788	0.64520	liquid
325.16	1.0000	987.50	0.0010127	217.58	218.59	0.72927	4.0141	4.1799	1546.3	-0.20515	0.00052908	0.64635	liquid
326.16	1.0000	987.04	0.0010131	221.76	222.77	0.74210	4.0092	4.1802	1547.3	-0.20459	0.00052052	0.64749	liquid
327.16	1.0000	986.56	0.0010136	225.94	226.95	0.75490	4.0043	4.1806	1548.2	-0.20403	0.00051219	0.64860	liquid
328.16	1.0000	986.08	0.0010141	230.12	231.14	0.76766	3.9994	4.1809	1549.0	-0.20348	0.00050408	0.64969	liquid
329.16	1.0000	985.59	0.0010146	234.30	235.32	0.78038	3.9944	4.1813	1549.9	-0.20292	0.00049618	0.65076	liquid
330.16	1.0000	985.10	0.0010151	238.48	239.50	0.79307	3.9894	4.1817	1550.6	-0.20237	0.00048848	0.65181	liquid
331.16	1.0000	984.60	0.0010156	242.66	243.68	0.80571	3.9844	4.1821	1551.3	-0.20182	0.00048097	0.65283	liquid
332.16	1.0000	984.09	0.0010162	246.85	247.86	0.81832	3.9794	4.1825	1552.0	-0.20127	0.00047366	0.65384	liquid
333.16	1.0000	983.58	0.0010167	251.03	252.05	0.83090	3.9743	4.1830	1552.6	-0.20072	0.00046653	0.65482	liquid
334.16	1.0000	983.07	0.0010172	255.21	256.23	0.84343	3.9693	4.1834	1553.2	-0.20017	0.00045957	0.65579	liquid
335.16	1.0000	982.54	0.0010178	259.39	260.41	0.85594	3.9642	4.1839	1553.8	-0.19962	0.00045279	0.65673	liquid
336.16	1.0000	982.01	0.0010183	263.58	264.60	0.86840	3.9591	4.1844	1554.3	-0.19907	0.00044617	0.65766	liquid
337.16	1.0000	981.48	0.0010189	267.76	268.78	0.88083	3.9540	4.1849	1554.7	-0.19852	0.00043971	0.65856	liquid
338.16	1.0000	980.94	0.0010194	271.95	272.97	0.89323	3.9489	4.1854	1555.1	-0.19798	0.00043341	0.65944	liquid
339.16	1.0000	980.39	0.0010200	276.13	277.15	0.90558	3.9438	4.1859	1555.5	-0.19743	0.00042726	0.66031	liquid
340.16	1.0000	979.84	0.0010206	280.32	281.34	0.91791	3.9387	4.1864	1555.8	-0.19688	0.00042125	0.66115	liquid
341.16	1.0000	979.29	0.0010212	284.50	285.52	0.93020	3.9335	4.1870	1556.0	-0.19634	0.00041539	0.66198	liquid
